15250.14303285098,1515.221069335938
15306.004362641643,1526.016357421875
15361.865692432306,1532.397338867188
15417.727022222969,1538.21875
15473.58835201363,1549.634887695312
15529.449681804294,1562.9892578125
15585.311011594957,1578.994506835938
15641.17234138562,1598.65234375
15697.033671176283,1622.064819335938
15752.895000966946,1642.971557617188
15808.75633075761,1657.96142578125
15864.617660548272,1670.673828125
15920.478990338934,1682.412475585938
15976.340320129597,1694.53125
16032.20164992026,1707.788818359375
16088.062979710923,1722.762573242188
16143.924309501586,1740.681518554688
16199.78563929225,1755.239868164062
16255.646969082913,1766.162109375
16311.508298873576,1770.32373046875
16367.369628664239,1760.782836914062
16423.2309584549,1763.55419921875
16479.092288245563,1771.712524414062
16534.953618036227,1781.983520507812
16590.81494782689,1793.46337890625
16646.676277617553,1809.945068359375
16702.537607408216,1827.48486328125
16758.39893719888,1851.96337890625
16814.260266989542,1874.990478515625
16870.121596780205,1901.144409179688
16925.98292657087,1931.625366210938
16981.84425636153,1964.9404296875
17037.705586152195,1995.172729492188
17093.566915942854,2023.49267578125
17149.428245733518,2045.009033203125
17205.28957552418,2065.6865234375
17261.150905314844,2084.277587890625
17317.012235105507,2104.959228515625
17372.87356489617,2122.906494140625
17428.734894686833,2139.8486328125
17484.596224477496,2158.937744140625
17540.45755426816,2178.9140625
17596.318884058823,2206.093017578125
17652.180213849486,2231.406982421875
17708.04154364015,2261.891357421875
17763.902873430812,2291.503662109375
17819.764203221475,2323.0234375
17875.62553301214,2352.355712890625
17931.4868628028,2380.21923828125
17987.348192593465,2408.47900390625
18043.209522384124,2428.5263671875
18099.070852174787,2439.7431640625
18154.93218196545,2437.1201171875
18210.793511756114,2429.65673828125
18266.654841546777,2421.4345703125
18322.51617133744,2413.261474609375
18378.377501128103,2402.595947265625
18434.238830918766,2388.69140625
18490.10016070943,2374.029052734375
18545.961490500093,2362.74853515625
18601.822820290756,2349.323486328125
18657.68415008142,2331.027099609375
18713.545479872082,2310.984619140625
18769.406809662745,2292.68701171875
18825.26813945341,2285.63037109375
18881.12946924407,2283.19384765625
18936.99079903473,2284.209716796875
18992.852128825394,2291.61328125
19048.713458616057,2314.612060546875
19104.57478840672,2350.741455078125
19160.436118197384,2390.62548828125
19216.297447988047,2421.030517578125
19272.15877777871,2436.7158203125
19328.020107569373,2445.84912109375
19383.881437360036,2456.946044921875
19439.7427671507,2467.275634765625
19495.604096941363,2476.72265625
19551.465426732026,2483.709716796875
19607.32675652269,2490.5673828125
19663.188086313352,2494.4892578125
19719.049416104015,2503.123046875
19774.91074589468,2508.90576171875
19830.77207568534,2517.0341796875
19886.633405476,2524.73193359375
19942.494735266664,2536.17822265625
19998.356065057327,2546.514892578125
20054.21739484799,2558.057373046875
20110.078724638654,2569.19091796875
20165.940054429317,2580.60107421875
20221.80138421998,2591.321044921875
20277.662714010643,2601.962890625
20333.524043801306,2612.317138671875
20389.38537359197,2622.072998046875
20445.246703382632,2631.077392578125
20501.108033173296,2640.30615234375
20556.96936296396,2650.319580078125
20612.830692754622,2662.329833984375
20668.692022545285,2683.65234375
20724.553352335948,2709.23876953125
20780.414682126608,2738.4541015625
20836.27601191727,2774.1220703125
20892.137341707934,2817.9990234375
20947.998671498597,2870.83203125
21003.86000128926,2922.361328125
21059.721331079923,2949.880615234375
21115.582660870587,2956.15673828125
21171.44399066125,2937.64599609375
21227.305320451913,2904.760009765625
21283.166650242576,2874.80126953125
21339.02798003324,2847.056640625
21394.889309823902,2823.437255859375
21450.750639614565,2798.444580078125
21506.61196940523,2772.1005859375
21562.47329919589,2743.792236328125
21618.334628986555,2720.212646484375
21674.195958777218,2699.126953125
21730.057288567878,2678.60107421875
21785.91861835854,2652.630859375
21841.779948149204,2623.901611328125
21897.641277939867,2596.54443359375
21953.50260773053,2579.2783203125
22009.363937521193,2567.68115234375
22065.225267311856,2559.249755859375
22121.08659710252,2554.123291015625
22176.947926893183,2554.41943359375
22232.809256683846,2556.97021484375
22288.67058647451,2556.927734375
22344.531916265172,2552.13623046875
22400.393246055835,2539.508544921875
22456.2545758465,2525.760986328125
22512.11590563716,2511.220703125
22567.977235427825,2494.64892578125
22623.838565218484,2478.53564453125
22679.699895009147,2464.1103515625
22735.56122479981,2450.30859375
22791.422554590474,2437.5791015625
22847.283884381137,2423.304931640625
22903.1452141718,2406.487548828125
22959.006543962463,2384.602783203125
23014.867873753126,2359.994384765625
23070.72920354379,2334.373291015625
23126.590533334453,2312.387451171875
23182.451863125116,2303.765625
23238.31319291578,2296.8486328125
23294.174522706442,2289.822509765625
23350.035852497105,2285.009765625
23405.89718228777,2282.1669921875
23461.75851207843,2280.11767578125
23517.619841869095,2277.888671875
23573.481171659754,2277.332275390625
23629.342501450417,2280.490966796875
23685.20383124108,2286.377197265625
23741.065161031744,2289.31005859375
23796.926490822407,2291.580078125
23852.78782061307,2294.1806640625
23908.649150403733,2297.9775390625
23964.510480194396,2305.49560546875
24020.37180998506,2316.552490234375
24076.233139775723,2339.7470703125
24132.094469566386,2362.83349609375
24187.95579935705,2388.85595703125
24243.817129147712,2416.697265625
24299.678458938375,2447.267333984375
24355.53978872904,2481.3720703125
24411.4011185197,2517.1953125
24467.26244831036,2553.930908203125
24523.123778101024,2581.371337890625
24578.985107891687,2593.19970703125
24634.84643768235,2592.56982421875
24690.707767473014,2578.385009765625
24746.569097263677,2551.774169921875
24802.43042705434,2520.044921875
24858.291756845003,2485.6943359375
24914.153086635666,2452.562255859375
24970.01441642633,2414.1923828125
25025.875746216992,2370.41748046875
25081.737076007656,2325.046875
25137.59840579832,2302.225341796875
25193.459735588982,2298.64404296875
25249.321065379645,2313.339111328125
25305.182395170308,2350.0634765625
25361.04372496097,2393.889404296875
25416.90505475163,2433.79638671875
25472.766384542294,2465.198974609375
25528.627714332957,2496.73779296875
25584.48904412362,2526.951171875
25640.350373914283,2554.227294921875
25696.211703704947,2573.99853515625
25752.07303349561,2580.587158203125
25807.934363286273,2588.355712890625
25863.795693076936,2593.68310546875
25919.6570228676,2578.024169921875
25975.518352658262,2569.22607421875
26031.379682448925,2567.542236328125
26087.24101223959,2573.766357421875
26143.10234203025,2581.76220703125
26198.963671820915,2579.439208984375
26254.825001611578,2560.29052734375
26310.686331402238,2522.802978515625
26366.5476611929,2480.7412109375
26422.408990983564,2441.356689453125
26478.270320774227,2406.748046875
26534.13165056489,2377.1318359375
26589.992980355553,2349.32568359375
26645.854310146216,2320.0703125
26701.71563993688,2285.6962890625
26757.576969727543,2247.4375
26813.438299518206,2210.54931640625
26869.29962930887,2175.77392578125
26925.160959099532,2147.701171875
26981.022288890195,2123.719970703125
27036.88361868086,2102.5478515625
27092.74494847152,2082.751708984375
27148.606278262185,2064.353759765625
27204.467608052848,2055.291259765625
27260.328937843507,2054.565185546875
27316.19026763417,2050.383544921875
27372.051597424834,2046.239624023438
27427.912927215497,2042.446166992188
27483.77425700616,2040.130493164062
27539.635586796823,2040.020385742188
27595.496916587486,2038.633422851562
27651.35824637815,2037.888061523438
27707.219576168813,2045.534423828125
27763.080905959476,2053.512451171875
27818.94223575014,2062.935302734375
27874.803565540802,2074.1337890625
27930.664895331465,2085.828857421875
27986.52622512213,2097.264404296875
28042.38755491279,2110.5146484375
28098.248884703455,2131.65869140625
28154.110214494114,2152.308349609375
28209.971544284777,2169.313232421875
28265.83287407544,2181.901611328125
28321.694203866104,2190.010498046875
28377.555533656767,2198.1796875
28433.41686344743,2204.476318359375
28489.278193238093,2207.181884765625
28545.139523028756,2207.933837890625
